City,Country,Continent,Population 2023,Population 2024,Growth Rate
Tokyo,Japan,Asia,37194105,37115035,-0.0021
Delhi,India,Asia,32941309,33807403,0.0263
Shanghai,China,Asia,29210808,29867918,0.0225
Dhaka,Bangladesh,Asia,23209616,23935652,0.0313
Sao Paulo,Brazil,South America,22619736,22806704,0.0083
Cairo,Egypt,Africa,22183201,22623874,0.0199
Mexico City,Mexico,North America,22281442,22505315,0.01
Beijing,China,Asia,21766214,22189082,0.0194
Mumbai,India,Asia,21296517,21673149,0.0177
Osaka,Japan,Asia,19013434,18967459,-0.0024
Chongqing,China,Asia,17340704,17773923,0.025
Karachi,Pakistan,Asia,17236230,17648555,0.0239
Kinshasa,DR Congo,Africa,16315534,17032322,0.0439
Lagos,Nigeria,Africa,15945912,16536018,0.037
Istanbul,Turkey,Asia,15847768,16047350,0.0126
Buenos Aires,Argentina,South America,15490415,15618288,0.0083
Kolkata,India,Asia,15332793,15570786,0.0155
Manila,Philippines,Asia,14667089,14941953,0.0187
Guangzhou,China,Asia,14284353,14590096,0.0214
Tianjin,China,Asia,14238643,14470873,0.0163
Lahore,Pakistan,Asia,13979390,14407074,0.0306
Bangalore,India,Asia,13607800,14008262,0.0294
Rio De Janeiro,Brazil,South America,13727720,13824347,0.007
Shenzhen,China,Asia,13072633,13311855,0.0183
Moscow,Russia,Asia,12680389,12712305,0.0025
Chennai,India,Asia,11776147,12053697,0.0236
Bogota,Colombia,South America,11507960,11658211,0.0131
Jakarta,Indonesia,Asia,11248839,11436004,0.0166
Lima,Peru,South America,11204382,11361938,0.0141
Paris,France,Europe,11208440,11276701,0.0061
Bangkok,Thailand,Asia,11069982,11233869,0.0148
Hyderabad,India,Asia,10801163,11068877,0.0248
Seoul,South Korea,Asia,9988049,10004840,0.0017
Nanjing,China,Asia,9698464,9947548,0.0257
Chengdu,China,Asia,9653772,9828110,0.0181
London,United Kingdom,Asia,9648110,9748033,0.0104
Luanda,Angola,Africa,9292336,9651032,0.0386
Tehran,Iran,Asia,9499781,9616007,0.0122
Ho Chi Minh City,Vietnam,Asia,9320866,9567656,0.0265
Nagoya,Japan,Asia,9569328,9556879,-0.0013
Xi An Shaanxi,China,Asia,8785174,9013837,0.026
Ahmedabad,India,Asia,8650605,8854444,0.0236
Wuhan,China,Asia,8718250,8850850,0.0152
Kuala Lumpur,Malaysia,Asia,8621724,8815630,0.0225
Hangzhou,China,Asia,8237206,8419842,0.0222
Suzhou,China,Asia,8074031,8350625,0.0343
Surat,India,Asia,8064949,8330528,0.0329
Dar Es Salaam,Tanzania,Africa,7775865,8161231,0.0496
New York,United States,North America,8133522,7931147,-0.0249
Baghdad,Iraq,Asia,7711305,7921134,0.0272
Shenyang,China,Asia,7680967,7830377,0.0195
Riyadh,Saudi Arabia,Asia,7682430,7820551,0.018
Hong Kong,Hong Kong,Asia,7684801,7725859,0.0053
